date,year,month,day,weekday,weekday_name,working_day,holiday_description,is_weekend,is_public_holiday,is_school_holiday_anywhere,school_holiday_municipality_count,school_holiday_population,school_holiday_population_weight,school_holiday_types,school_holiday_municipalities,is_autumn_break_anywhere,autumn_break_municipality_count,autumn_break_population,autumn_break_population_weight,is_christmas_break_anywhere,christmas_break_municipality_count,christmas_break_population,christmas_break_population_weight,is_winter_break_anywhere,winter_break_municipality_count,winter_break_population,winter_break_population_weight,school_start_municipalities,school_start_population,school_start_population_weight,school_end_municipalities,school_end_population,school_end_population_weight,public_holiday_source,school_holiday_source
2025-01-01,2025,1,1,3,Wednesday,False,uusivuosi,False,True,False,0,0,0,,,False,0,0,0,False,0,0,0,False,0,0,0,,0,0,,0,0,https://holiday-calendar.fi/api/calendar,
2025-01-02,2025,1,2,4,Thursday,True,working day,False,False,False,0,0,0,,,False,0,0,0,False,0,0,0,False,0,0,0,,0,0,,0,0,https://holiday-calendar.fi/api/calendar,
2025-01-03,2025,1,3,5,Friday,True,working day,False,False,False,0,0,0,,,False,0,0,0,False,0,0,0,False,0,0,0,,0,0,,0,0,https://holiday-calendar.fi/api/calendar,
2025-01-04,2025,1,4,6,Saturday,False,weekend,True,False,False,0,0,0,,,False,0,0,0,False,0,0,0,False,0,0,0,,0,0,,0,0,https://holiday-calendar.fi/api/calendar,
2025-01-05,2025,1,5,7,Sunday,False,weekend,True,False,False,0,0,0,,,False,0,0,0,False,0,0,0,False,0,0,0,,0,0,,0,0,https://holiday-calendar.fi/api/calendar,
2025-01-06,2025,1,6,1,Monday,False,loppiainen,False,True,False,0,0,0,,,False,0,0,0,False,0,0,0,False,0,0,0,,0,0,,0,0,https://holiday-calendar.fi/api/calendar,
2025-01-07,2025,1,7,2,Tuesday,True,working day,False,False,False,0,0,0,,,False,0,0,0,False,0,0,0,False,0,0,0,,0,0,,0,0,https://holiday-calendar.fi/api/calendar,
2025-01-08,2025,1,8,3,Wednesday,True,working day,False,False,False,0,0,0,,,False,0,0,0,False,0,0,0,False,0,0,0,,0,0,,0,0,https://holiday-calendar.fi/api/calendar,
2025-01-09,2025,1,9,4,Thursday,True,working day,False,False,False,0,0,0,,,False,0,0,0,False,0,0,0,False,0,0,0,,0,0,,0,0,https://holiday-calendar.fi/api/calendar,
2025-01-10,2025,1,10,5,Friday,True,working day,False,False,False,0,0,0,,,False,0,0,0,False,0,0,0,False,0,0,0,,0,0,,0,0,https://holiday-calendar.fi/api/calendar,
